"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA","ANO"
"1",2010-11-01,1093.93,42,1402709498684.61,817382144796.13,26.0459523809524,33397845206.7764,0.0409258027597724,0.0672083632483418,"2010"
"2",2010-12-01,1106.94,43,1421648823925.38,853228198250.75,25.7427906976744,33061600556.4042,0.0370743638782167,0.0612610900132564,"2010"
"3",2011-01-01,1048.82,42,1337042185704.44,798997362079.88,24.9719047619048,31834337754.8676,0.02728084368739,0.0395540763732953,"2011"
"4",2011-02-01,1060.41,42,1365725897550.11,822132131922.78,25.2478571428571,32517283275.0026,0.0307866090531385,0.0516335655441232,"2011"
"5",2011-03-01,1087.32,42,1373697998609.34,843432184324.55,25.8885714285714,32707095204.9843,0.0389263973182195,0.0549908335620088,"2011"
"6",2011-04-01,1072.38,42,1346344839191.36,855745782235.64,25.5328571428571,32055829504.5562,0.0344073175456328,0.0434716761128206,"2011"
"7",2011-05-01,1054.96,42,1338707263963.91,847336707363.71,25.1180952380952,31873982475.3312,0.029138082630073,0.0402552859974913,"2011"
"8",2011-06-01,1044.49,42,1353421255020.76,866966405112.27,24.8688095238095,32224315595.7324,0.0259710970063123,0.0464517467828728,"2011"
"9",2011-07-01,982.87,42,1269281085322.46,815576100573.44,23.4016666666667,30220978221.9633,0.00733216155873526,0.0110180388244776,"2011"
"10",2011-08-01,958.63,42,1243117872104.06,783214385146.25,22.8245238095238,29598044573.9062,0,0,"2011"
"11",2011-09-01,923.86,37,1197357642758.02,645684664990.31,24.9691891891892,32361017371.8384,0.0272463443989926,0.0488696374863347,"2011"
"12",2011-10-01,1006.22,37,1277798856121.54,756765683222.67,27.1951351351351,34535104219.5011,0.0555252966457284,0.0873234493329804,"2011"
"13",2011-11-01,993.81,37,1260687860067.31,696166469748.36,26.8597297297297,34072644866.6841,0.0512642257693079,0.0791437738250467,"2011"
"14",2011-12-01,1025.37,37,1294639351551.5,690179844093.99,27.7127027027027,34990252744.6351,0.062100599408295,0.0953738157507705,"2011"
"15",2012-01-01,1085.43,35,1342887901798.72,772174056580.29,31.0122857142857,38368225765.6777,0.104019294958219,0.155121170882358,"2012"
"16",2012-02-01,1145.39,35,1412646577812.17,826495774521.54,32.7254285714286,40361330794.6334,0.125783473525634,0.190373895885714,"2012"
"17",2012-03-01,1151.61,35,1414298443148.66,776191451154.56,32.9031428571429,40408526947.1046,0.128041198520452,0.191208670250391,"2012"
"18",2012-04-01,1126.17,35,1381398311754.6,730203146080.25,32.1762857142857,39468523192.9886,0.118807030695986,0.174582504862942,"2012"
"19",2012-05-01,1036.13,35,1289877269223.71,637826865066.35,29.6037142857143,36853636263.5346,0.0861244650153655,0.128332112385025,"2012"
"20",2012-06-01,1056.68,35,1305456203417.07,645849801324.39,30.1908571428571,37298748669.0591,0.0935836689773462,0.136204966549546,"2012"
"21",2012-07-01,1089.91,35,1331870549646.78,649724644932.35,31.1402857142857,38053444275.6223,0.105645437719761,0.149553523847277,"2012"
"22",2012-08-01,1078.82,35,1310024802409.58,643051640688,30.8234285714286,37429280068.8451,0.101620008428356,0.138513719713131,"2012"
"23",2012-09-01,1086.74,34,1288926349207.66,634751477005.6,31.9629411764706,37909598506.1076,0.116096650415654,0.147009274908096,"2012"
