"","MES","INDICE","QTD_EMPRESAS","VLR_MERCADO_EM_REAIS","VLR_MERCADO_EM_DOLARES","MEDIA_INDICE","MEDIA_VLR_EM_REAIS","MEDIA_INDICE_PADRONIZADA","MEDIA_VLR_EM_REAIS_PADRONIZADA"
"1",2005-11-01,1000,28,365831969942.59,165759841387.66,35.7142857142857,13065427497.9496,0,0.0113758888252285
"2",2005-12-01,1040.08,28,380193252988.79,162427159819.23,37.1457142857143,13578330463.8854,0.0121690441898144,0.0212064164414206
"3",2006-01-01,1230.43,28,445473650590.27,201026015609.32,43.9439285714286,15909773235.3668,0.0699628955254226,0.0658918912247589
"4",2006-02-01,1253.98,28,456445362007.58,213741682045.27,44.785,16301620071.6993,0.0771131198435396,0.0734022029244712
"5",2006-03-01,1185.48,28,446742195288.44,205644538431.45,42.3385714285714,15955078403.1586,0.0563152274532629,0.0667602303312034
"6",2006-04-01,1229.55,28,470514036690.27,225212539101.2,43.9125,16804072738.9382,0.0696957109224526,0.0830324354424497
"7",2006-05-01,1118.99,28,432286490144.18,187909797932.67,39.9639285714286,15438803219.435,0.0361276089856791,0.0568650692808277
"8",2006-06-01,1122.22,28,429435538947.64,198417751211.69,40.0792857142857,15336983533.8443,0.0371082979261257,0.0549135476528616
"9",2006-07-01,1159.57,28,440929806255.17,202614560359.88,41.4132142857143,15747493080.5418,0.0484484626089991,0.062781557205425
"10",2006-08-01,1174.28,28,449314096844.38,210077658894.91,41.9385714285714,16046932030.1564,0.052914696142736,0.0685207380233407
"11",2006-09-01,1191.67,28,449984246394.24,206965433904.04,42.5596428571429,16070865942.6514,0.0581946282400632,0.0689794660935057
"12",2006-10-01,1264.71,28,471980759415.76,220243004860.39,45.1682142857143,16856455693.42,0.0803709502865712,0.0840364305737929
"13",2006-11-01,1337.63,28,505551090582.02,233316914612.33,47.7725,18055396092.215,0.102510838069038,0.107015858425259
"14",2006-12-01,1433.42,34,776465070480.31,363173559626.01,42.1594117647059,22837207955.3032,0.0547921323368673,0.198666203027509
"15",2007-01-01,1427.23,34,776954018191.34,365677045319.95,41.9773529411765,22851588770.3335,0.0532443905124435,0.198941832159504
"16",2007-02-01,1360.2,34,744726485305.32,351584593194.85,40.0058823529412,21903720156.0388,0.0364842718547507,0.180774558409494
"17",2007-03-01,1407.85,34,765154792488.79,373173425911.44,41.4073529411765,22504552720.2585,0.0483986333949426,0.192290384028662
"18",2007-04-01,1474.69,34,801488035449.94,394064622375.73,43.3732352941176,23573177513.2335,0.0651112446299149,0.212772124701624
"19",2007-05-01,1572.93,34,857200613138.78,444398679630.26,46.2626470588235,25211782739.3759,0.0896750825671334,0.244178365252879
"20",2007-06-01,1661.86,33,879825722409.2,456767585094.65,50.3593939393939,26661385527.5515,0.124502872663842,0.271962100555856
"21",2007-07-01,1648.88,33,879157931849.4,468234944529.93,49.9660606060606,26641149449.9818,0.121159016875157,0.271574246843547
"22",2007-08-01,1654.07,33,874760744231.9,445851551596.29,50.1233333333333,26507901340.3606,0.122496043958614,0.269020353985768
"23",2007-09-01,1783.12,33,943017517626.57,512816095288.76,54.0339393939394,28576288412.9264,0.155741389839183,0.308663985604738
"24",2007-10-01,1967.31,33,1043638222665.23,598416412078.7,59.6154545454545,31625400686.8251,0.203191682421453,0.367104635014415
"25",2007-11-01,1935.3,33,1026708878065.7,575606255573.06,58.6454545454545,31112390244.4151,0.194945393993425,0.357272047456053
"26",2007-12-01,2011.81,32,1023123816533.6,577611819868.77,62.8690625,31972619266.675,0.230851671725482,0.37375958159255
"27",2008-01-01,1804.04,32,924715463632.07,525316970761.84,56.37625,28897358238.5022,0.175654141226404,0.31481775346469
"28",2008-02-01,1930.07,32,970776265252.71,576710191441.05,60.3146875,30336758289.1472,0.209136091309663,0.342405938537474
"29",2008-03-01,1800.96,32,893992537309.15,511115737984.78,56.28,27937266790.9109,0.174835888379809,0.296416211425648
"30",2008-04-01,2052.71,31,1005778269353.49,596122729583.58,66.2164516129032,32444460301.7255,0.259308925442843,0.382803097878431
"31",2008-05-01,2258.95,31,1112422017610.36,682718803001.3,72.8693548387097,35884581213.2374,0.315867439755995,0.448737993696321
"32",2008-06-01,2031.88,30,1021390979471.4,641617551021.68,67.7293333333333,34046365982.38,0.27217042959146,0.413505938528768
"33",2008-07-01,1863.45,30,907053680224.49,578995072274.03,62.115,30235122674.1497,0.224441138872121,0.340457944888813
"34",2008-08-01,1749.92,30,854779461439.63,522992817816.7,58.3306666666667,28492648714.6543,0.192269278898444,0.307060909743843
"35",2008-09-01,1658.85,30,819471938083.88,428079161094.85,55.295,27315731269.4627,0.166462080027636,0.28450358366984
"36",2008-10-01,1245.39,30,602407953862.96,284786060541.28,41.513,20080265128.7653,0.0492967737234289,0.145825403904618
"37",2008-11-01,1218.01,30,568240121956.26,243555836422.03,40.6003333333333,18941337398.542,0.0415378947832431,0.123996205696763
"38",2008-12-01,1185.19,30,399752376712.27,171053648571.77,39.5063333333333,13325079223.7423,0.0322374416489518,0.0163524899184593
"39",2009-01-01,1118.07,30,381876155962.26,164871840066.59,37.269,12729205198.742,0.0132171365187375,0.00493170187943756
"40",2009-02-01,1089.16,30,374156882023.47,157314531627.78,36.3053333333333,12471896067.449,0.00502468983645966,0
"41",2009-03-01,1188.84,29,394489403525.06,170391069248.91,40.9944827586207,13603082880.1745,0.0448886884375327,0.0216808323213401
"42",2009-04-01,1371.56,29,450287326917.92,206715019472.95,47.2951724137931,15527149204.0662,0.0984529195633509,0.0585583479307422
